S. No.,cleaned_text,numeric_label
1,rofl true name,0
2,guy bitching acted like id interested buying something else next week gave us free,0
3,pity mood soany suggestions,0
4,b going esplanade fr home,0
5,nd time tried contact u u pound prize claim easy call p per minute btnationalrate,1
6,reminder get pounds free call credit details great offers pls reply text valid name house postcode,1
7,huh lei,0
8,dont wait til least wednesday see get,0
9,ard like dat lor,0
10,ok lor sony ericsson salesman ask shuhui say quite gd use considering,0
11,get dump heap mom decided come lowes boring,0
12,anything lor juz us lor,0
13,arent next ltgt hours imma flip shit,0
14,sorry ill call later,0
15,meant calculation ltgt units ltgt school really expensive started practicing accent important decided years dental school youll nmde exam,0
16,yes thats u texted pshewmissing much,0
17,yeh indians nice tho kane bit shud go drink sometime soon mite hav go da works laugh soon love pete x x,0
18,well keep mind ive got enough gas one round trip barring sudden influx cash,0
19,hahahause brain dear,0
20,safe trip nigeria wish happiness soon company share moments,0
21,wen get spiritual deep thats great,0
22,cool time think get,0
23,know wot people wear shirts jumpers hat belt know r cribbs,0
24,trying weekend v,0
25,ic lotta childporn cars,0
26,hi durban still number,0
27,im taking derek amp taylor walmart im back time youre done leave mouse desk ill text priscillas ready,0
28,u still havent got urself jacket ah,0
29,armand says get ass epsilon,0
30,yeah jus rite,0
31,asked mobile chatlines inclu free mins india cust servs sed yes ler got mega bill dont giv shit bailiff due days want,1
32,sleepingand surfing,0
33,cant believe attached seeing every day know best get babe go teach class midnight,0
34,want explicit sex secs ring costs pmin gsex pobox wcn xx,1
35,aiyah ok wat long got improve already wat,0
36,know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop,0
37,ok another number,0
38,hey chief give bell get need talk royal visit st june,0
39,happened adventuring,0
40,compliments away system side,0
41,think tantrums finished yeah ill point,0
42,one,0
43,effect irritation ignore,0
44,total disappointment texted craziest shit got,0
45,private account statement shows unredeemed sim points call identifier code expires,1
46,want tell bad feel basically times text lately need drugs,0
47,awarded sipix digital camera call landline delivery within days cs box mbp yr warranty ppm p p,1
48,going join tomorrow,0
49,thats cool want please,0
50,big chic common declare,0
51,dont want hear anything,0
52,pls send company name saibaba colany,0
53,way ive put skip right outside front house see house pull,0
54,miles smiles r made frm letters u know difference smile ur face keeps happy even though miles away u keep smiling good nyt,0
55,ya im referin meis ex wat ah waitin u treat somebody shld b rich liaoso gd den u dun work frm tmr onwards,0
56,great role model giving much really wish day miracle god reason everything must say wish knew dont ive looked since young still great day,0
57,oh okie lorwe go sat,0
58,yes please leave ltgt ltgt leave,0
59,making dinner,0
60,reassuring crazy world,0
61,went project centre,0
62,lol mad first woke gave,0
63,machan go gym tomorrow wil come late goodnight,0
64,want inside every night,0
65,gods love limit gods grace measure gods power boundaries may u gods endless blessings always ur life gud ni,0
66,told tell stupid hear wont tell anything dad called brother spoken,0
67,wait msg ltgt min,0
68,perhaps much easy give account identification tomorrow uni,0
69,apo mokka players,0
70,private account statement shows unredeemed points call identifier code expires,1
71,love one law make happy person love way friendship one law never make ur friend feel alone alive gud night,0
72,get step outta way congrats,0
73,wake gt,0
74,sms services inclusive text credits pls goto wwwcomuknet login qxj unsubscribe stop extra charge help comuk cm ae,1
75,yes trust u buy new stuff asap try,0
76,good afternoon love goes day sleep hope well boytoy think,0
77,cool shall go see go tip anyway home got something drop later lets go town tonight maybe mum take us,0
78,think rule tamilnaduthen tough people,0
79,marvel mobile play official ultimate spiderman game ur mobile right text spider game send u free ball wallpaper,1
80,u studying sch going home anyway ill b going sch later,0
81,k sent,0
82,oh thanks loti already bought eggs,0
83,k sent,0
84,p per min call germany bt line p per min check planettalkinstantcom info ts cs text stop opt,1
85,ofcourse also upload songs,0
86,also fuck family going rhode island wherever fuck leaving alone week new bong gt,0
87,picking various points going yeovil motor project hours u take home max easy,0
88,li hai bored da lecturer repeating last weeks stuff waste time,0
89,urgent trying contact last weekends draw shows u prize guaranteed call claim code k valid hrs p pm,1
90,shall call dear food,0
91,seen whos back holby,0
92,really hope work doesnt get stressful gr day,0
93,probably ltgt,0
94,todaysundaysunday holidayso work,0
95,yes princess want please every night wish command,0
96,dhoni luck win big titleso win,0
97,wheres mummys boy good bad positive negative mummy made wait hmmmm,0
98,ok lor reaching message,0
99,well obviously people cool college life went home,0
100,yup,0
101,thought slide enough,0
102,ok lor,0
103,urgent last weekends draw shows cash spanish holiday call claim tc rstm sw ss ppm,1
104,get garden ready summer free selection summer bulbs seeds worth scotsman saturday stop go notxtcouk,1
105,httptms widelivecomindex wmlidadafirsttruec c ringtone,1
106,shall bring us bottle wine keep us amused joking ill bring one anyway,0
107,treasure every moment spend together,0
108,u goin nite,0
109,txt call claim reward hours talk time use phone subscribegbpmnth inc hrs stoptxtstop wwwgambtv,1
110,ok thk got u wan come wat,0
111,december mobile mths entitled update latest colour camera mobile free call mobile update co free,1
112,hear loud scream ltgt minutes cause gyno shoving things dont belong,0
113,sorry ill call later,0
114,arun u transfr amt,0
115,sparkling shopping breaks per person call visit wwwshortbreaksorguk,1
116,wishing beautiful day moment revealing even things keep smiling enjoy,0
117,im wondering right,0
118,except theres chick huge boobs,0
119,hello wats talks email address,0
120,sing hu think also important find someone female know place well preferably citizen also smart help navigate even things like choosing phone plan require guidance doubt ask especially girls,0
121,sac needs carry,0
122,latest news police station toilet stolen cops nothing go,1
123,aight pick open tonight,0
124,takes away money worries,0
125,back good journey let know need receipts shall tell like pendent,0
126,thats fine got enough bud last night least,0
127,good morning repair shopthe reason im hour,0
128,guaranteed award maybe even cash claim ur award call free legitimat efreefone number wat u think,1
129,thought id get watch cos thats kind thing u getanth loves much,0
130,way make sure u get train worc foregate street shrub hill fun night x,0
131,thank generally date brothas,0
132,hey ive booked lessons sun liao,0
133,youdoing later sar xxx,0
134,slow using biolas fne,0
135,mode men left,0
136,im wif buying tix lar,0
137,jesus armand really trying tell everybody find,0
138,youre gon na way specific,0
139,thanx lot ur help,0
140,wasnt paying attention,0
141,make time tonight whenever cool text whenever youre around,0
142,er yeah b sorry tell pubcafe sit come wen u,0
143,didnt complete gist oh,0
144,santa calling would little ones like call santa xmas eve call book time,1
145,oh yeah diet flew window,0
146,otherwise part time job natuition,0
147,u horrible gal u knew dat going wif yest n u still come n ask,0
148,sorry ill call later,0
149,ok ksry knw sivatats askd,0
150,hi elaine todays meeting confirmed,0
151,dont know oh hopefully month,0
152,im bruce amp fowler im moms car cant park long story,0
153,really hows masters,0
154,nope forgot show next week,0
155,slave want take pictures today bright light cell phone bright light,0
156,get chicken broth want ramen unless theres dont know,0
157,east coast,0
158,nite nite pocay wocay luv u n e thing eva promise ring u morrowxxxx,0
159,gr handle victoria island traffic plus whens album due,0
160,ask u meeting da ge tmr nite,0
161,daddy shu shu looking u u wan tell ure singapore wat,0
162,first time everything,0
163,pub,0
164,yup msg tat yijue tot group mate cos meeting today mah im askin leaving earlier wat mah cos mayb haf walk v far,0
165,dear angry busy dear,0
166,many days since,0
167,pls give prometazine syrup mls ltgt mins later feed,0
168,gd got free ice cream oso wan,0
169,hi babe thanks coming even though didnt go welli wanted bed hope see soon love kisses xxx,0
170,babes think got ur brolly left english wil bring mrw u luv franxx,0
171,hard true much show amp express love someonethat much hurt leave get seperatedud evening,0
172,hes apparently bffs carly quick,0
173,hi hope good day better night,0
174,thats necessarily respectful,0
175,want custom officer discount oh,0
176,dunno lei shd b driving lor cos go sch hr oni,0
177,dont know exactly could ask chechi,0
178,done handed dont know mega shop asda counts celebration thats im,0
179,ooooooh forgot tell u get yoville phone,0
180,watching ajith film ah,0
181,nt joking seriously told,0
182,okok okthenwhats ur todays plan,0
183,much fights good nite,0
184,gentle baby soon taking ltgt inches deep inside tight pussy,0
185,im work please call,0
186,friends help us problems give stupid suggestion lands us another problem helps us forgt previous problem,0
187,babes hope ok shit nights sleep fell asleep im knackered im dreading work tonight thou upto tonight x,0
188,good day toopray meremove teeth painful maintaining stuff,0
189,make squeezed ltgt bucks dad,0
190,new message call,1
191,sunny california weathers cool,0
192,somebody set website play hold em using eve online spacebucks,0
193,free entry grprizes wkly comp chance win latest nokia psp cash every wktxt great httpwwwgrprizescom,1
194,current leading bid pause auction send customer care,1
195,dont want leave im barely stay sane fighting constantly isnt helping,0
196,cant pick phone right pls send message,0
197,u konw waht rael friendship im gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleepsweet dreams,0
198,k ill head mins see,0
199,ok problem u frm wats matter,0
200,lol oh got friend dog,0
201,datingi two started sent text talk sport radio last week connection think coincidence,1
202,hi mom might back later ltgt,0
203,important message final contact attempt important messages waiting customer claims dept expires call,1
204,trying figure im suppose see couple different people week said wed get together didnt set dates,0
205,xmas reward waiting computer randomly picked loyal mobile customers receive reward call,1
206,call send girls erotic ecstacy pmin stop texts call nat rate,1
207,think mentor percent sure,0
208,im inside officestill filling formsdon know leave,0
209,yep get program youre slacking,0
210,hey iouri gave number im wylie ryans friend,0
211,ur face test ltgt select number tell ur face astrology waiting quick reply,0
212,hmm shall bring bottle wine keep us amused joking ill still bring bottle red white see tomorrow,0
213,ok,0
214,tell something thats okay,0
215,living simple loving also simple laughing simple winning tooo simple simple difficult,0
216,aiyo cos sms neva reply wait reply lar tot havent finish ur lab wat,0
217,guai shd haf seen hes naughty free today go jogging,0
218,good morning princess great day,0
219,yup paragon havent decided whether cut yet hee,0
220,one interested may business plan,0
221,im home,0
222,thought put back box,0
223,sir thats hr trip bus last week another audition next wednesday think might drive time,0
224,parents kidz friends n colleagues screaming surprise waiting sofa naked,0
225,wat,0
226,guys planning coming,0
227,go openings room til thanksgiving without upcharge,0
228,u r subscribed textcomp wkly comp st wks free question follows subsequent wks chargedpmsg unsubscribe txt stop custcare,1
229,course make stink,0
230,u awake snow,0
231,youd like wouldnt jerk,0
232,wan na gym,0
233,birthday feb ltgt da,0
234,sounds better evening im costume im sure time finish tomorrow txt end,0
235,pride im almost ltgt years old shouldnt takin money kid youre supposed deal stuff grownup stuffwhy dont tell,0
236,garbage bags eggs jam bread hannaford wheat chex,0
237,neither sterm voice im studying fine sure thing resolved tho anyway fab hols,0
238,think steyn surely get one wicket,0
239,x course yrs messages messenger lik r sending,0
240,dude im longer pisces im aquarius,0
241,sir waiting letter,0
242,sweet heart,0
243,wishing wonderful week,0
244,makes happy,0
245,gal n boy walking park galcan hold ur hand boyy u think would run away galno jst wana c feels walking heaven princegn,0
246,dear sirsalam alaikkumpride pleasure meeting today tea shopwe pleased send contact number qatarrakhesh indianpls save numberrespectful regards,0
247,aah bless hows arm,0
248,thanks ill keep mind,0
249,ok problem yup im going sch rem correctly,0
250,havent got da topic yet rite,0
251,kothi print marandratha,0
252,good morning love go sleep wish great day full feeling better opportunity last thought babe love kiss,0
253,k fyi im back parents place south tampa might need deal somewhere else,0
254,jus finish watching tv u,0
255,hahahause brain dear,0
256,get official england poly ringtone colour flag yer mobile tonights game text tone flag optout txt eng stop box wwx,1
257,sister going earn da,0
258,got ur favorite oyster n got favorite sashimi ok lar dun say already wait ur stomach start rumbling,0
259,kkim going tirunelvali week see uncle already spend amount taking dress want moneyi give feb,0
260,yeah thats thinking,0
261,jolly good way give u tickets sat eve speak x,0
262,im coming back thursday yay gon na ok get money cheers oh yeah everything alright hows school call work,0
263,leave,0
264,ill mins look,0
265,hi missed call mumhas beendropping red wine theplace adress,0
266,pls ask macho much budget bb bold cos saw new one ltgt dollars,0
267,tell quite long cos havent finish film yet,0
268,ltgt bucks banks fees fixed better call bank find,0
269,time come tomorrow,0
270,cant make tonight,0
271,well good morning mr hows london treatin ya treacle,0
272,ill hand phone chat wit u,0
273,darling sister whens school resuming minimum wait period reapply take care,0
274,u coming funeral home,0
275,alex says hes ok ok,0
276,xmas iscoming ur awarded either cd gift vouchers free entry r weekly draw txt music tnc wwwldewcomwinppmxagesubscription,1
277,donno genes something,0
278,urgent please call landline cash luxury canary islands holiday await collection tcs sae po box mxy ppm,1
279,xy trying smth u eat already havent,0
280,dear call,0
281,hey congrats u id luv ive go home,0
282,excellent thought misundrstud frnd knw u hate bt day wen ull knw truth ull hate urself gn,0
283,hey dont forget mine possession property mmm childish smile,0
284,im still pretty weak today bad day,0
285,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,1
286,sent ur email id soon,0
287,yeah probably,0
288,gone get info bt dont know,0
289,princess,0
290,vikky come around lttimegt,0
291,helloooo wake sweet morning welcomes enjoy day full joy gud mrng,0
292,urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm,1
293,best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night,0
294,dunno leh cant remember mayb lor wat time r meeting tmr,0
295,oh yeah clearly fault,0
296,hi hope ur day good back walk table booked half eight let know ur coming,0
297,latebut kwish,0
298,hellohow u doingwhat u u b moving flat cos need arrange pick lamp etc take care hello caroline,0
299,u wan come dinner tonight,0
300,u fix teethif asapok take care,0
301,dont prize go another customer tc wwwtcbiz pmin polo ltd suite london wj hl please call back busy,1
302,er enjoyin indians moyep sall good hehe hows bout u shexy pete xx,0
303,anything lar going home dinner,0
304,hi darlin kate u doin somethin tonight im going pub called swan something parents one drink phone u,0
305,gud niswt drmstake care,0
306,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone get name person bt girlfrnd g n g h,0
307,pls speak wont ask anything friendship,0
308,see film,0
309,absolutely love south park recently started watching office,0
310,anyone calls treadmill say youll buy make sure working found ad craigslist selling ltgt,0
311,help u swoop picking u wherever ur birds r meeting u want,0
312,cbe chennai,0
313,usualiam fine happy amp well,0
314,well shes big surprise,0
315,ok sweet dreams,0
316,didnt get anything da,0
317,please tell car keys purse,0
